"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"        25 to 34 years:","318,126","±4,680","58,576","±2,009","448,698","±2,263","193,788","±2,943","2,872,266","±3,885","401,303","±2,206","216,839","±1,528","64,814","±1,054","81,597","±112","1,318,472","±5,642","715,174","±5,350","97,662","±1,045","109,202","±2,311","874,879","±3,489","428,118","±3,718","193,832","±2,575","187,092","±2,499","281,793","±2,858","336,635","±3,719","79,120","±1,166","420,403","±2,664","474,905","±2,034","619,073","±2,688","365,643","±2,492","195,863","±4,375","400,152","±2,720","62,536","±1,467","123,872","±1,898","208,447","±1,478","77,817","±1,566","572,968","±1,822","132,656","±2,625","1,447,129","±3,493","675,747","±5,625","53,552","±1,755","746,006","±2,784","267,711","±2,492","283,305","±3,098","823,905","±3,123","70,196","±1,446","328,611","±3,983","53,023","±1,265","445,990","±3,208","2,007,905","±6,877","220,715","±1,801","35,860","±1,095","575,260","±4,377","520,078","±3,114","108,132","±1,643","356,828","±2,948","39,252","±1,527","211,160","±2,681"
"            Less than 9th grade","7,082","±1,524","376","±218","14,585","±2,542","4,864","±1,282","109,722","±6,078","8,774","±1,617","5,643","±1,540","2,746","±825","619","±434","35,763","±3,774","18,139","±2,220","1,196","±595","1,810","±737","18,357","±2,265","11,944","±1,683","4,402","±1,151","4,524","±1,006","5,881","±1,241","8,167","±1,574","687","±402","12,255","±2,166","8,997","±1,505","11,703","±1,562","8,088","±1,695","3,648","±1,009","8,443","±1,605","342","±281","5,427","±1,372","6,297","±1,379","899","±528","16,232","±2,329","2,585","±896","46,015","±3,923","20,376","±2,529","404","±357","14,615","±1,818","6,784","±1,174","7,659","±1,514","15,197","±2,226","1,206","±615","6,926","±1,245","1,011","±370","8,335","±1,609","70,045","±4,482","3,076","±807","421","±295","12,021","±2,144","10,829","±2,001","1,622","±720","7,093","±1,222","200","±156","4,922","±1,249"
"            9th to 12th grade, no diploma","26,090","±3,185","2,871","±985","34,016","±2,846","14,748","±2,299","190,026","±7,514","21,218","±2,387","7,258","±1,237","2,240","±835","2,373","±849","76,179","±5,524","51,631","±4,760","3,101","±1,071","6,502","±1,421","37,369","±3,078","29,511","±2,732","9,586","±1,696","9,876","±1,653","17,601","±2,174","29,663","±3,072","2,387","±849","14,994","±2,029","18,012","±2,327","34,076","±3,013","13,270","±1,788","14,020","±2,440","19,803","±2,205","3,473","±926","5,202","±1,024","17,774","±2,199","2,610","±958","17,356","±2,454","10,940","±2,160","81,391","±3,974","39,553","±3,684","1,706","±595","37,643","±3,491","20,073","±1,895","12,947","±2,146","37,167","±3,328","2,394","±991","22,664","±3,002","3,707","±900","27,054","±3,030","145,804","±7,189","9,801","±1,659","1,614","±637","25,456","±2,805","23,738","±2,539","8,029","±1,260","12,614","±1,437","1,073","±564","10,551","±1,855"
"            High school graduate (includes equivalency)","73,761","±4,107","15,081","±1,813","95,071","±5,040","50,380","±3,460","526,760","±11,898","66,819","±3,784","40,918","±2,823","17,854","±2,394","8,910","±1,587","317,486","±10,986","150,873","±7,609","21,040","±2,297","27,485","±2,849","153,912","±6,417","91,524","±4,970","33,007","±2,992","32,787","±2,598","59,920","±3,596","83,717","±5,051","17,927","±2,290","85,912","±5,334","74,109","±4,087","128,069","±5,136","50,537","±2,589","45,216","±4,861","75,495","±3,684","15,274","±1,879","18,139","±2,093","50,284","±3,553","16,849","±2,273","112,105","±5,812","27,136","±3,062","248,162","±8,329","120,470","±6,736","10,136","±1,343","167,791","±5,465","66,327","±3,000","51,786","±3,815","187,964","±6,661","12,044","±1,763","69,469","±4,256","9,057","±1,206","110,680","±4,860","458,782","±13,641","43,705","±3,039","7,823","±1,280","98,538","±5,461","95,270","±4,752","32,012","±2,445","67,015","±3,135","8,210","±1,279","48,814","±3,573"
"            Some college, no degree","81,516","±4,549","15,651","±1,732","124,020","±5,869","53,259","±3,353","667,975","±12,629","88,859","±5,239","38,314","±2,984","12,640","±2,007","8,924","±1,610","278,434","±8,954","174,578","±7,621","24,982","±2,153","28,043","±2,332","184,970","±7,431","103,870","±4,790","45,328","±3,214","42,922","±3,317","77,943","±4,521","83,690","±4,828","17,400","±2,047","85,250","±4,811","73,701","±4,397","161,347","±6,003","71,662","±3,247","53,999","±4,278","102,182","±4,769","14,169","±1,823","26,816","±1,771","58,661","±4,317","14,954","±1,686","101,216","±4,931","39,149","±2,894","230,233","±7,868","173,179","±6,833","10,637","±1,598","172,225","±6,277","68,641","±3,110","72,004","±4,489","145,495","±5,710","18,603","±2,421","84,134","±5,046","10,898","±1,592","102,595","±5,514","497,469","±12,062","58,243","±3,066","7,519","±1,128","119,260","±5,853","119,749","±4,747","24,028","±2,127","80,270","±3,881","10,459","±1,221","39,973","±3,552"
"            Associate's degree","35,845","±3,123","4,420","±1,055","45,228","±3,441","16,765","±2,230","244,422","±7,808","37,056","±3,020","18,406","±2,033","6,449","±1,382","1,899","±716","175,407","±8,996","65,064","±4,880","12,463","±1,703","12,609","±1,782","80,423","±4,252","46,242","±3,523","27,854","±2,116","19,550","±1,861","33,089","±2,957","31,131","±3,134","8,601","±1,806","29,955","±2,916","33,747","±2,410","70,053","±3,791","56,065","±3,099","25,039","±2,405","43,841","±3,416","6,836","±1,578","14,045","±1,557","17,473","±2,183","6,856","±1,371","44,426","±3,803","16,618","±1,860","128,923","±5,641","76,641","±4,566","7,100","±1,160","82,761","±4,082","25,657","±2,367","26,820","±2,881","81,814","±4,052","5,817","±1,002","36,461","±3,365","6,567","±1,022","37,824","±3,212","169,827","±8,120","25,802","±2,388","2,365","±584","56,179","±4,359","55,984","±3,899","12,571","±1,731","46,142","±2,670","7,249","±1,344","29,726","±3,540"
"            Bachelor's degree","63,739","±3,630","16,444","±2,080","95,718","±4,119","36,560","±2,894","789,701","±10,957","126,760","±4,708","65,380","±3,709","14,875","±1,995","28,927","±2,170","307,615","±8,802","173,582","±7,553","25,168","±2,107","26,252","±2,356","264,462","±6,014","103,996","±4,240","54,295","±2,986","51,612","±2,742","56,577","±3,578","70,486","±4,338","22,223","±1,953","116,668","±5,215","156,698","±4,911","147,909","±4,700","118,042","±3,852","36,922","±3,029","100,759","±4,760","17,104","±1,748","39,567","±2,442","42,890","±3,274","23,315","±2,207","186,360","±5,868","25,127","±2,757","442,227","±9,223","167,183","±6,729","17,988","±1,506","181,135","±5,621","60,139","±3,083","76,773","±3,722","234,928","±6,385","21,632","±2,101","75,571","±4,249","15,979","±1,645","108,427","±4,988","474,128","±12,327","63,060","±3,775","10,684","±1,288","160,917","±5,749","146,122","±5,327","19,118","±2,242","104,347","±3,981","8,474","±1,408","58,318","±3,298"
"            Graduate or professional degree","30,093","±2,978","3,733","±915","40,060","±2,761","17,212","±2,139","343,660","±8,137","51,817","±2,996","40,920","±3,018","8,010","±1,328","29,945","±2,066","127,588","±6,452","81,307","±4,131","9,712","±1,491","6,501","±1,598","135,386","±5,631","41,031","±3,205","19,360","±2,018","25,821","±1,925","30,782","±2,341","29,781","±2,773","9,895","±1,602","75,369","±4,167","109,641","±4,401","65,916","±3,367","47,979","±3,358","17,019","±2,328","49,629","±3,184","5,338","±1,170","14,676","±1,608","15,068","±2,009","12,334","±1,488","95,273","±3,680","11,101","±1,367","270,178","±7,121","78,345","±4,417","5,581","±1,141","89,836","±4,102","20,090","±2,021","35,316","±2,704","121,340","±5,499","8,500","±1,534","33,386","±3,057","5,804","±852","51,075","±3,718","191,850","±8,066","17,028","±1,970","5,434","±858","102,889","±4,964","68,386","±3,728","10,752","±1,627","39,347","±2,670","3,587","±874","18,856","±2,665"
"        35 to 44 years:","307,078","±3,473","45,658","±1,477","421,151","±2,032","183,899","±2,474","2,572,587","±3,540","363,184","±2,451","215,732","±1,363","55,873","±575","49,904","±175","1,247,128","±4,915","719,693","±5,530","88,382","±991","102,960","±2,211","829,449","±2,603","410,165","±3,193","183,330","±2,195","172,781","±2,135","278,409","±2,420","297,040","±3,563","77,157","±993","392,816","±2,066","422,591","±1,881","585,589","±2,173","334,129","±2,399","195,305","±3,850","372,447","±2,960","57,005","±1,144","115,179","±2,193","193,228","±1,719","77,463","±1,365","582,339","±1,836","124,185","±2,463","1,254,336","±2,590","670,727","±5,198","39,993","±1,264","693,829","±3,233","237,380","±2,094","263,690","±2,224","743,197","±3,175","62,330","±1,305","314,540","±3,734","47,699","±1,009","426,404","±3,217","1,876,698","±6,314","200,684","±1,735","35,354","±617","549,482","±4,393","468,052","±2,910","110,516","±1,229","336,020","±2,658","35,184","±1,278","231,859","±2,440"
"            Less than 9th grade","10,272","±1,710","919","±510","23,577","±2,613","6,558","±1,567","233,038","±8,199","14,011","±2,127","6,183","±1,175","1,643","±633","1,643","±622","45,258","±3,710","28,756","±3,419","916","±466","3,314","±960","34,526","±3,089","14,689","±2,083","4,325","±944","7,063","±1,330","7,279","±1,394","6,777","±1,739","930","±474","16,234","±2,246","11,509","±1,930","14,521","±1,860","11,637","±1,426","3,399","±918","10,232","±1,619","411","±250","5,418","±1,066","11,439","±1,930","764","±355","23,955","±2,630","6,281","±1,244","61,525","±4,161","26,069","±2,203","378","±381","15,395","±2,042","8,768","±1,302","14,073","±2,046","18,167","±2,402","2,303","±932","9,993","±1,833","1,208","±440","10,575","±1,809","143,634","±6,283","7,237","±1,761","284","±231","17,526","±2,354","20,329","±2,675","2,049","±769","7,619","±1,277","733","±605","9,236","±2,027"
"            9th to 12th grade, no diploma","23,470","±3,063","1,454","±541","34,964","±2,988","14,474","±2,471","207,676","±6,633","18,931","±2,319","9,031","±1,536","4,898","±1,533","2,754","±958","72,456","±5,796","47,378","±4,285","2,070","±839","6,942","±1,554","39,539","±3,276","28,480","±3,035","8,375","±1,427","8,873","±1,281","15,960","±1,917","23,760","±2,627","1,524","±668","14,550","±2,387","15,595","±2,251","29,037","±2,557","11,015","±1,721","14,465","±2,240","20,304","±2,574","2,444","±663","4,519","±1,050","15,956","±2,023","2,009","±801","21,396","±2,267","11,648","±1,820","79,968","±4,959","42,816","±3,820","1,561","±688","37,352","±2,963","16,775","±1,689","11,238","±1,734","31,234","±3,016","3,142","±981","23,324","±2,750","1,782","±551","24,453","±2,722","158,103","±7,992","9,650","±2,074","1,408","±478","24,476","±2,858","23,306","±2,698","7,759","±1,484","13,295","±1,794","1,257","±521","10,581","±1,868"
"            High school graduate (includes equivalency)","70,892","±4,538","10,298","±1,450","84,607","±4,289","48,585","±3,425","460,918","±10,482","61,013","±4,289","43,849","±3,486","14,383","±1,926","7,175","±1,397","303,900","±8,605","152,939","±7,251","18,664","±1,761","21,510","±2,689","159,949","±5,868","94,290","±4,846","32,691","±2,774","31,740","±2,806","68,099","±3,303","89,599","±4,693","19,532","±2,147","70,403","±4,626","70,078","±4,186","117,074","±5,092","49,183","±3,290","48,699","±4,116","79,498","±4,749","12,698","±1,594","17,279","±2,080","52,308","±4,399","12,873","±1,649","121,401","±5,378","27,787","±3,092","245,640","±8,537","117,249","±6,451","6,687","±1,336","156,876","±5,758","58,602","±3,053","42,527","±3,267","179,538","±5,254","13,547","±1,771","68,615","±4,873","8,996","±1,382","113,519","±5,542","391,377","±10,571","37,762","±2,857","6,226","±1,011","91,707","±5,610","80,035","±4,796","33,071","±2,919","63,600","±3,691","7,421","±1,165","52,261","±3,764"
"            Some college, no degree","66,698","±4,164","11,517","±1,697","103,578","±5,069","41,555","±2,984","498,988","±10,771","65,785","±4,061","34,775","±2,990","9,699","±1,739","6,290","±1,271","246,722","±8,559","147,972","±6,368","18,361","±1,983","24,468","±2,527","167,730","±5,662","87,037","±4,832","35,566","±2,497","38,991","±3,136","63,920","±3,922","63,885","±4,169","15,342","±1,786","70,997","±4,515","67,014","±4,290","140,485","±5,019","62,967","±2,997","46,901","±4,098","86,090","±4,494","10,630","±1,074","23,640","±1,901","47,511","±3,314","15,836","±1,935","89,969","±4,914","29,441","±3,050","178,254","±7,139","141,435","±5,561","7,944","±1,113","149,160","±6,064","52,588","±2,305","62,933","±3,559","122,420","±5,224","11,918","±1,686","66,850","±3,962","10,004","±1,446","98,050","±5,279","406,737","±11,859","45,508","±3,007","6,600","±1,041","100,882","±4,974","95,588","±4,799","23,688","±2,543","69,493","±3,735","9,190","±1,376","35,675","±2,995"
"            Associate's degree","39,164","±3,101","5,454","±1,204","37,734","±3,031","18,599","±2,273","215,007","±6,543","37,524","±3,130","17,981","±2,025","4,615","±1,151","1,650","±637","147,156","±7,565","72,616","±4,786","12,453","±1,915","12,705","±2,098","74,817","±4,118","54,133","±4,475","30,216","±2,835","19,099","±1,770","34,702","±2,639","25,924","±3,223","9,132","±1,295","27,958","±2,744","36,629","±2,991","70,345","±4,090","49,062","±2,711","23,786","±2,662","38,051","±3,093","7,827","±1,633","15,287","±1,779","17,315","±2,237","9,915","±1,417","46,014","±3,344","13,516","±1,818","131,812","±7,064","83,023","±4,926","6,840","±1,052","85,562","±4,323","27,212","±2,551","31,185","±3,450","83,966","±4,182","5,480","±1,495","42,465","±3,440","7,904","±984","42,321","±3,623","148,191","±7,488","29,959","±2,554","4,028","±839","56,659","±4,591","54,107","±3,570","12,897","±1,706","47,415","±2,706","5,025","±1,193","33,594","±3,065"
"            Bachelor's degree","57,607","±4,111","10,046","±1,427","86,663","±4,169","33,617","±2,782","568,109","±10,952","98,694","±4,406","59,934","±3,632","11,297","±1,821","9,097","±1,368","276,419","±9,457","152,141","±7,403","24,035","±2,119","23,093","±2,173","203,118","±5,573","89,127","±4,080","46,008","±2,790","42,359","±2,620","52,504","±2,873","54,752","±3,769","20,506","±2,241","93,980","±4,011","115,073","±4,521","123,375","±4,207","93,546","±3,099","34,806","±3,164","84,162","±5,127","15,168","±1,811","31,772","±2,044","30,112","±2,620","20,624","±1,767","167,249","±5,368","20,715","±2,273","292,200","±8,588","164,224","±6,575","11,702","±1,338","147,459","±5,536","50,632","±2,816","58,818","±3,576","179,384","±5,850","13,887","±1,861","64,207","±3,499","12,371","±1,498","86,157","±4,829","406,938","±9,882","51,474","±3,335","10,256","±1,186","142,624","±5,657","117,528","±4,922","19,743","±2,101","85,873","±3,484","7,615","±1,230","65,618","±4,210"
"            Graduate or professional degree","38,975","±3,008","5,970","±1,105","50,028","±2,861","20,511","±2,027","388,851","±9,178","67,226","±3,050","43,979","±2,720","9,338","±1,303","21,295","±1,381","155,217","±6,320","117,891","±5,730","11,883","±1,569","10,928","±1,828","149,770","±4,992","42,409","±3,294","26,149","±2,488","24,656","±2,034","35,945","±2,854","32,343","±2,869","10,191","±1,626","98,694","±3,711","106,693","±4,428","90,752","±3,788","56,719","±3,056","23,249","±2,159","54,110","±3,317","7,827","±1,188","17,264","±1,553","18,587","±1,861","15,442","±1,867","112,355","±4,692","14,797","±1,815","264,937","±7,206","95,911","±4,878","4,881","±935","102,025","±4,462","22,803","±2,017","42,916","±2,958","128,488","±4,451","12,053","±1,748","39,086","±3,265","5,434","±830","51,329","±3,610","221,718","±8,012","19,094","±1,911","6,552","±945","115,608","±5,101","77,159","±3,460","11,309","±1,576","48,725","±2,805","3,943","±1,074","24,894","±2,492"
"        45 to 64 years:","670,282","±3,743","89,272","±1,481","862,919","±2,185","389,097","±2,826","5,022,901","±3,502","715,812","±2,445","531,894","±1,780","135,509","±741","75,298","±82","2,841,182","±4,935","1,367,243","±5,544","182,669","±1,059","204,957","±2,158","1,720,530","±3,161","878,342","±3,388","404,337","±2,336","368,387","±2,505","610,252","±2,766","610,369","±4,357","206,334","±1,194","861,693","±2,477","968,417","±1,630","1,399,999","±2,498","739,324","±2,318","393,907","±3,425","822,823","±3,191","142,215","±1,449","235,142","±1,459","376,935","±1,648","204,924","±1,292","1,283,032","±1,707","271,604","±2,271","2,730,226","±2,932","1,390,754","±4,445","88,706","±1,244","1,613,066","±3,100","494,490","±2,418","541,573","±2,817","1,808,186","±3,598","153,872","±1,126","681,949","±3,299","109,662","±1,569","911,592","±3,675","3,367,095","±6,399","303,028","±1,974","93,753","±934","1,155,376","±4,075","958,627","±3,342","259,150","±1,562","801,902","±2,564","72,184","±1,493","469,832","±1,300"
"            Less than 9th grade","22,755","±2,939","1,225","±503","53,119","±4,121","11,859","±1,514","560,943","±10,795","21,984","±2,281","15,045","±1,870","1,646","±588","3,522","±957","119,115","±5,543","47,400","±3,356","6,509","±1,185","6,452","±1,448","72,628","±3,967","23,860","±2,217","9,658","±1,518","10,597","±1,619","25,822","±2,517","20,640","±2,343","2,868","±864","22,275","±2,439","37,489","±2,878","30,208","±2,322","17,576","±1,933","12,306","±1,451","19,511","±2,381","1,795","±685","6,828","±1,163","26,912","±2,536","1,590","±586","55,350","±3,901","15,198","±2,130","149,361","±6,421","45,152","±4,047","1,441","±664","29,333","±2,460","15,883","±1,680","19,390","±2,130","44,248","±3,433","7,676","±1,418","17,124","±2,266","2,020","±688","31,878","±3,405","293,680","±10,038","9,808","±1,746","1,595","±626","37,955","±3,440","37,765","±3,031","6,000","±1,073","15,089","±1,678","391","±239","46,071","±3,552"
"            9th to 12th grade, no diploma","54,203","±4,067","3,719","±698","54,931","±3,799","29,261","±2,528","365,590","±9,924","28,533","±2,253","23,093","±2,623","7,621","±1,132","6,014","±1,151","178,260","±8,061","97,138","±4,807","6,586","±1,303","9,641","±1,639","91,403","±4,307","52,721","±3,746","14,672","±1,548","18,746","±2,114","48,166","±3,556","52,882","±4,352","6,875","±1,370","39,592","±3,262","38,604","±3,543","71,838","±3,637","20,710","±1,860","38,512","±2,953","52,554","±3,259","5,636","±1,047","9,684","±1,463","25,855","±2,935","6,985","±1,407","60,544","±3,856","19,075","±2,261","180,834","±6,557","80,064","±4,681","2,572","±692","91,310","±4,784","33,829","±2,367","30,453","±3,004","92,776","±5,270","6,545","±1,193","48,404","±3,469","4,421","±1,172","62,070","±3,609","258,444","±10,347","13,049","±1,854","3,028","±652","62,737","±3,780","41,081","±3,740","19,465","±2,613","30,157","±2,307","3,808","±943","33,984","±2,877"
"            High school graduate (includes equivalency)","206,422","±6,905","21,994","±1,755","196,750","±6,788","136,328","±5,643","982,787","±11,136","151,129","±4,632","133,008","±5,325","41,858","±2,698","16,018","±1,819","807,249","±12,122","372,328","±9,554","48,523","±3,015","55,624","±3,674","423,842","±8,673","308,228","±7,152","116,743","±3,824","91,292","±3,722","198,858","±5,684","214,725","±6,697","63,725","±3,324","219,190","±7,268","223,294","±7,071","407,158","±7,518","169,225","±5,147","120,999","±4,631","247,295","±6,359","39,939","±2,534","58,906","±2,944","105,232","±4,771","54,466","±2,815","341,334","±7,665","69,419","±3,764","720,231","±12,482","352,256","±8,582","20,746","±1,505","548,785","±7,892","148,993","±3,737","113,606","±4,558","633,571","±9,298","40,649","±3,311","200,840","±6,185","31,108","±2,351","292,932","±6,002","844,945","±14,647","74,070","±3,872","25,082","±1,955","277,407","±7,381","199,722","±6,696","107,285","±4,673","244,360","±5,116","18,884","±1,838","131,289","±5,797"
"            Some college, no degree","152,289","±5,868","23,813","±1,917","222,586","±6,629","88,636","±4,126","1,085,706","±13,360","152,645","±4,826","97,589","±4,779","26,654","±2,565","11,630","±1,311","590,402","±11,322","285,965","±7,695","37,183","±2,481","58,645","±3,445","388,232","±8,145","181,013","±6,629","90,489","±3,792","87,589","±3,249","127,796","±4,922","134,694","±6,066","41,343","±2,763","176,607","±5,314","157,603","±5,864","333,488","±7,312","174,187","±4,099","87,767","±4,095","191,971","±6,037","35,691","±2,156","56,670","±2,519","98,605","±4,082","42,795","±2,446","225,018","±6,949","63,422","±3,851","448,858","±11,032","306,110","±8,696","20,710","±1,618","328,299","±8,859","119,465","±3,376","151,740","±5,893","308,414","±7,369","28,773","±2,650","147,675","±6,197","24,797","±1,962","202,882","±6,178","735,033","±15,526","88,566","±3,503","16,340","±1,659","237,519","±7,176","242,693","±5,188","47,947","±3,300","172,218","±4,511","19,356","±1,672","53,980","±3,578"
"            Associate's degree","65,514","±3,941","8,285","±1,451","82,899","±4,432","34,216","±2,512","452,514","±9,353","73,288","±4,082","54,439","±3,141","13,864","±1,739","2,856","±702","337,501","±8,894","125,838","±5,830","21,935","±2,010","21,529","±2,092","172,165","±6,162","90,821","±4,813","59,050","±3,113","36,937","±2,360","68,996","±3,391","45,009","±3,721","26,486","±2,485","69,372","±3,704","106,576","±4,901","170,909","±5,232","100,351","±3,624","42,982","±3,179","78,725","±4,236","14,567","±1,530","29,568","±2,078","32,173","±2,920","26,431","±2,013","105,754","±4,184","26,181","±2,080","303,484","±8,365","173,599","±6,072","15,778","±1,318","183,244","±6,761","45,253","±2,626","52,123","±3,552","189,070","±6,351","16,553","±1,859","82,103","±4,168","14,695","±1,635","84,067","±3,783","279,928","±8,545","33,502","±2,603","11,544","±1,330","106,610","±4,748","114,867","±4,190","25,456","±2,036","106,370","±3,604","9,631","±1,483","53,275","±3,530"
"            Bachelor's degree","101,858","±4,543","19,085","±1,678","157,223","±5,581","56,964","±3,290","990,538","±14,021","175,640","±5,175","120,186","±4,760","26,624","±2,185","13,954","±1,561","526,023","±10,258","268,220","±7,944","42,503","±2,392","35,578","±3,039","346,866","±7,480","141,207","±4,455","78,995","±3,500","76,606","±3,436","80,868","±3,778","92,930","±4,590","41,393","±2,586","176,174","±5,330","229,147","±5,557","239,245","±6,740","170,246","±4,692","57,309","±3,800","143,914","±4,700","30,681","±2,173","49,333","±2,790","58,600","±3,908","46,331","±2,853","318,024","±6,968","42,730","±2,994","500,332","±10,374","281,698","±7,928","18,849","±1,579","269,658","±6,578","86,192","±3,173","106,148","±4,280","326,674","±6,592","32,719","±2,162","115,952","±5,159","22,178","±1,620","150,399","±4,919","637,018","±12,420","55,278","±3,367","19,242","±1,626","252,639","±6,655","201,527","±6,021","30,209","±2,310","150,382","±4,105","12,223","±1,657","112,157","±4,902"
"            Graduate or professional degree","67,241","±3,628","11,151","±1,613","95,411","±4,597","31,833","±2,661","584,823","±11,647","112,593","±4,720","88,534","±4,347","17,242","±1,741","21,304","±1,649","282,632","±8,861","170,354","±5,608","19,430","±1,855","17,488","±1,729","225,394","±6,508","80,492","±3,965","34,730","±2,708","46,620","±3,246","59,746","±3,213","49,489","±3,687","23,644","±2,225","158,483","±5,134","175,704","±4,894","147,153","±5,304","87,029","±3,152","34,032","±2,531","88,853","±3,475","13,906","±1,849","24,153","±1,843","29,558","±2,288","26,326","±2,101","177,008","±5,400","35,579","±2,672","427,126","±8,289","151,875","±5,558","8,610","±1,356","162,437","±4,980","44,875","±2,595","68,113","±3,317","213,433","±5,778","20,957","±1,798","69,851","±4,271","10,443","±1,318","87,364","±4,848","318,047","±8,952","28,755","±2,223","16,922","±1,452","180,509","±6,634","120,972","±4,386","22,788","±1,995","83,326","±3,154","7,891","±1,120","39,076","±2,974"
"        65 years and over:","445,182","±1,836","38,095","±771","630,590","±981","270,023","±1,546","2,976,585","±2,150","403,262","±1,605","327,796","±1,016","92,745","±438","46,630","±112","2,250,958","±3,046","769,654","±3,017","133,503","±401","135,345","±1,251","1,061,310","±2,476","558,586","±1,728","285,795","±1,204","241,948","±1,248","384,116","±1,602","379,711","±1,575","140,229","±680","498,136","±1,233","610,989","±1,028","893,927","±1,514","456,398","±1,273","254,369","±1,304","546,621","±1,917","96,114","±707","157,608","±871","233,623","±1,041","123,609","±802","785,150","±869","185,966","±1,107","1,737,001","±2,136","883,603","±2,565","60,318","±846","1,062,832","±1,883","327,323","±1,468","374,146","±1,686","1,256,737","±2,037","99,505","±814","462,960","±1,903","75,404","±945","584,930","±1,785","1,864,537","±3,416","171,911","±1,309","61,967","±639","686,327","±2,661","587,361","±2,244","188,961","±1,186","508,031","±1,494","46,300","±715","365,598","*****"
"            Less than 9th grade","35,496","±2,760","2,813","±535","41,879","±2,605","22,902","±2,283","438,679","±10,102","18,004","±1,887","26,279","±2,353","4,164","±974","3,174","±762","187,676","±8,010","60,573","±3,497","13,087","±1,730","4,809","±1,166","86,839","±3,763","29,074","±2,604","11,641","±1,450","10,483","±1,105","41,973","±2,368","32,190","±2,503","7,162","±1,040","27,848","±2,617","51,435","±3,440","42,320","±2,479","21,388","±2,035","22,976","±2,661","31,883","±2,464","2,829","±756","5,859","±794","15,770","±1,634","5,263","±1,022","72,014","±3,601","18,801","±1,802","199,091","±5,610","58,757","±3,659","4,068","±597","51,994","±2,853","17,659","±1,561","13,296","±1,708","67,838","±3,787","10,104","±1,781","35,453","±2,330","3,709","±766","52,000","±3,352","259,988","±6,224","6,062","±1,133","2,814","±715","51,666","±3,368","29,886","±2,472","16,379","±2,126","22,182","±2,099","1,337","±675","127,623","±3,826"
