Label (Grouping),Alabama!!Estimate,Alaska!!Estimate,Arizona!!Estimate,Arkansas!!Estimate,California!!Estimate,Colorado!!Estimate,Connecticut!!Estimate,Delaware!!Estimate,District of Columbia!!Estimate,Florida!!Estimate,Georgia!!Estimate,Hawaii!!Estimate,Idaho!!Estimate,Illinois!!Estimate,Indiana!!Estimate,Iowa!!Estimate,Kansas!!Estimate,Kentucky!!Estimate,Louisiana!!Estimate,Maine!!Estimate,Maryland!!Estimate,Massachusetts!!Estimate,Michigan!!Estimate,Minnesota!!Estimate,Mississippi!!Estimate,Missouri!!Estimate,Montana!!Estimate,Nebraska!!Estimate,Nevada!!Estimate,New Hampshire!!Estimate,New Jersey!!Estimate,New Mexico!!Estimate,New York!!Estimate,North Carolina!!Estimate,North Dakota!!Estimate,Ohio!!Estimate,Oklahoma!!Estimate,Oregon!!Estimate,Pennsylvania!!Estimate,Rhode Island!!Estimate,South Carolina!!Estimate,South Dakota!!Estimate,Tennessee!!Estimate,Texas!!Estimate,Utah!!Estimate,Vermont!!Estimate,Virginia!!Estimate,Washington!!Estimate,West Virginia!!Estimate,Wisconsin!!Estimate,Wyoming!!Estimate,Puerto Rico!!Estimate
            Graduate or professional degree,"53,424","10,942","92,199","25,749","588,789","103,542","86,420","14,425","17,563","262,181","132,497","20,639","19,406","206,627","71,208","33,270","42,903","49,991","44,887","17,791","142,365","150,327","141,042","83,121","23,833","77,493","15,219","23,870","28,054","27,329","178,264","31,565","348,616","121,721","7,221","151,002","39,666","59,488","196,764","16,657","53,122","9,567","76,743","314,728","37,774","11,953","181,404","111,818","19,342","76,103","8,040","26,278"
        65 years and over:,"300,019","29,757","444,228","193,923","2,018,457","273,851","226,464","62,354","29,045","1,569,705","489,591","93,357","98,114","722,596","383,923","203,221","172,418","265,486","256,835","101,141","326,004","406,909","629,199","322,566","171,181","385,130","74,585","112,633","169,640","86,832","526,495","133,634","1,155,670","579,487","44,398","732,380","236,164","261,312","867,210","66,241","302,837","54,096","399,811","1,250,189","124,284","44,353","461,528","410,159","138,189","362,535","35,127","252,870"
            Less than 9th grade,"33,514","2,772","33,900","19,636","251,669","14,162","18,602","5,051","2,211","135,698","55,058","7,239","5,172","72,630","28,577","13,753","10,940","49,483","34,532","9,038","25,937","36,782","42,577","25,571","24,562","31,455","4,268","7,498","10,945","5,183","45,929","16,559","128,062","65,711","7,427","51,831","18,557","12,161","68,500","7,123","36,338","6,604","53,591","174,081","4,813","3,722","50,755","22,715","18,682","26,064","1,575","94,964"
"            9th to 12th grade, no diploma","33,851","1,316","33,176","21,796","138,723","15,272","21,106","5,516","3,224","141,690","52,451","6,545","7,902","65,265","38,634","14,944","10,678","30,033","29,033","7,875","28,816","34,084","66,317","21,072","21,357","34,631","5,147","7,361","13,313","6,547","52,391","10,490","118,511","65,496","2,563","86,305","23,709","16,456","99,711","6,552","33,066","4,048","45,503","102,704","6,964","3,092","43,693","22,417","18,212","32,377","3,507","35,152"
"            High school graduate, GED, or alternative","94,417","8,117","99,856","68,366","387,522","62,127","63,134","17,792","4,829","418,782","138,462","28,167","26,708","226,295","151,036","84,289","59,378","85,686","82,636","33,662","86,831","110,983","201,711","108,424","50,321","135,928","23,307","41,847","43,670","25,469","157,193","31,814","346,357","161,987","15,447","269,770","72,749","68,792","339,174","16,866","82,725","19,709","123,768","287,771","26,100","14,146","114,053","98,591","55,018","138,918","12,314","63,902"
"            Some college, no degree","54,631","7,626","102,104","38,175","390,481","55,459","32,230","10,848","4,177","299,061","86,788","17,595","23,182","133,359","68,841","36,533","37,037","41,294","48,428","14,822","52,652","59,132","128,360","59,336","29,231","76,530","15,184","24,849","39,689","14,396","77,449","26,190","162,240","101,547","8,705","130,642","51,082","62,220","114,530","9,165","51,707","8,821","68,103","253,232","30,648","5,431","73,124","94,358","19,751","64,085","6,826","19,015"
            Associate's degree,"11,908","1,014","27,264","5,308","143,286","13,580","9,429","3,919",805,"84,493","21,518","5,199","4,790","30,211","13,037","7,555","6,082","8,069","4,818","4,816","10,080","21,682","31,503","12,530","6,482","15,002","2,656","4,423","11,384","5,675","18,517","6,016","58,032","28,728","1,792","27,193","11,390","14,996","30,552","4,173","15,042","2,164","16,617","52,368","8,238","3,189","19,060","24,031","3,892","16,623","1,797","7,710"
            Bachelor's degree,"39,055","4,564","77,729","23,069","375,338","59,812","39,339","10,034","4,608","271,894","75,371","15,127","17,141","100,453","40,414","25,955","26,172","25,549","33,693","16,727","56,860","66,468","79,998","54,959","20,803","49,625","13,731","13,777","28,025","15,182","90,161","19,541","164,289","86,802","4,939","89,161","31,471","45,490","112,591","11,069","46,254","7,281","51,019","216,762","24,224","6,188","74,673","79,710","13,189","43,465","5,140","21,383"
            Graduate or professional degree,"32,643","4,348","70,199","17,573","331,438","53,439","42,624","9,194","9,191","218,087","59,943","13,485","13,219","94,383","43,384","20,192","22,131","25,372","23,695","14,201","64,828","77,778","78,733","40,674","18,425","41,959","10,292","12,878","22,614","14,380","84,855","23,024","178,179","69,216","3,525","77,478","27,206","41,197","102,152","11,293","37,705","5,469","41,210","163,271","23,297","8,585","86,170","68,337","9,445","41,003","3,968","10,744"
    Female:,"1,935,828","260,040","2,501,924","1,155,761","14,609,435","1,983,478","1,453,449","372,111","278,819","7,915,200","3,849,266","543,566","589,703","5,059,321","2,545,468","1,198,061","1,097,193","1,729,762","1,803,733","549,638","2,376,338","2,740,691","3,926,154","2,083,490","1,174,551","2,387,266","394,345","707,930","1,044,606","536,500","3,550,708","799,583","8,001,175","3,883,310","267,622","4,602,815","1,468,437","1,550,013","5,197,660","437,379","1,898,930","315,640","2,579,864","9,700,312","988,171","257,093","3,261,043","2,684,061","754,682","2,242,291","217,440","1,497,904"
