"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"        25 to 34 years:","311,294","±3,630","50,656","±1,560","422,455","±2,644","191,293","±3,117","2,636,335","±4,190","361,594","±2,965","213,296","±1,186","58,148","±983","70,800","±261","1,154,553","±5,759","673,243","±6,911","92,602","±1,437","99,654","±1,546","888,192","±3,190","410,275","±2,942","190,262","±2,221","184,185","±1,970","283,606","±2,384","318,830","±3,822","72,465","±1,159","395,386","±2,718","438,140","±1,453","584,953","±2,616","356,791","±2,149","191,331","±3,972","391,297","±2,843","60,508","±1,450","121,266","±1,779","187,812","±1,767","72,143","±1,238","561,695","±2,088","133,334","±2,282","1,370,060","±3,090","631,955","±5,305","43,258","±1,005","713,802","±2,960","251,557","±2,361","263,042","±2,654","767,370","±2,922","64,530","±924","300,250","±4,560","51,523","±1,235","422,400","±3,650","1,819,039","±7,882","217,831","±1,996","35,377","±756","547,324","±4,454","465,236","±3,236","108,477","±1,534","358,674","±2,758","37,905","±1,204","244,487","±2,236"
"            Less than 9th grade","9,723","±2,034","666","±485","15,539","±1,978","8,832","±1,505","150,349","±6,926","8,284","±1,675","3,393","±1,048","2,809","±778","1,043","±488","33,926","±3,956","26,453","±3,353","682","±504","3,003","±986","24,407","±2,489","12,028","±1,745","3,664","±1,044","5,085","±1,068","7,725","±1,252","8,037","±1,824","650","±455","13,323","±1,793","9,836","±1,699","12,758","±1,838","7,433","±1,166","5,854","±1,507","6,843","±1,297","350","±348","3,468","±899","8,099","±1,875","1,072","±524","17,019","±2,300","3,976","±1,189","50,960","±5,530","26,473","±3,010","321","±217","13,960","±1,932","7,936","±1,594","10,006","±1,623","14,909","±2,025","2,337","±809","8,522","±1,831","829","±568","8,099","±1,563","90,942","±6,207","5,404","±1,360","55","±73","12,494","±2,698","16,019","±2,364","2,199","±789","6,375","±1,146","243","±218","11,733","±1,793"
"            9th to 12th grade, no diploma","33,916","±3,318","1,943","±572","37,500","±4,044","14,182","±1,745","216,576","±9,045","20,919","±2,861","13,201","±1,853","4,047","±966","2,281","±768","80,108","±6,008","54,069","±4,202","3,509","±1,031","6,273","±1,522","52,189","±3,905","31,175","±3,215","8,815","±1,534","10,148","±1,543","21,901","±2,616","29,598","±2,567","3,014","±769","19,590","±2,394","17,671","±2,403","37,125","±3,462","16,580","±2,279","18,670","±2,664","26,064","±2,642","2,558","±712","6,629","±1,429","23,076","±3,090","3,554","±1,084","25,581","±3,039","13,133","±1,791","90,485","±5,358","49,238","±4,325","1,368","±522","48,604","±4,140","19,267","±1,908","15,141","±2,123","43,765","±4,073","3,945","±1,277","25,690","±2,857","3,518","±1,185","30,047","±3,060","171,466","±7,880","13,731","±2,213","1,101","±386","28,656","±3,067","25,263","±2,769","7,919","±1,547","17,520","±2,137","2,741","±816","16,892","±2,203"
"            High school graduate, GED, or alternative","71,356","±4,481","11,713","±1,644","91,490","±5,789","51,024","±3,572","505,996","±11,078","65,880","±4,099","39,287","±3,269","13,586","±1,677","6,566","±1,348","275,977","±8,435","150,050","±8,939","20,783","±2,193","22,449","±2,465","173,252","±7,053","90,029","±5,298","32,051","±2,699","29,907","±2,304","63,421","±4,211","84,810","±4,449","18,782","±1,693","72,982","±4,247","68,932","±4,705","116,199","±4,885","53,704","±3,729","45,918","±3,716","78,467","±4,638","15,774","±1,843","21,113","±2,097","48,392","±4,431","13,579","±1,823","119,378","±4,598","26,583","±2,715","238,065","±8,950","112,454","±6,899","6,529","±1,238","157,485","±5,463","60,412","±3,396","52,588","±3,521","184,062","±6,124","11,323","±1,745","64,642","±4,724","9,975","±1,853","113,528","±5,017","397,786","±12,314","45,592","±2,790","7,418","±946","100,393","±5,711","94,638","±4,875","34,009","±2,829","74,350","±4,107","8,165","±1,359","54,144","±3,280"
"            Some college, no degree","77,157","±4,293","17,582","±1,832","117,453","±7,219","52,067","±4,016","628,311","±11,788","85,723","±4,881","44,652","±3,388","14,081","±1,906","9,122","±1,329","267,251","±10,124","165,603","±7,742","24,994","±2,527","28,034","±2,479","184,495","±7,241","105,782","±5,167","45,016","±2,891","50,150","±3,330","79,436","±4,199","86,167","±4,827","17,276","±1,664","86,817","±4,875","78,643","±4,813","166,997","±6,340","78,598","±3,803","49,616","±3,758","105,352","±5,168","15,663","±1,856","31,571","±2,473","48,783","±4,726","16,666","±2,211","107,948","±5,478","41,277","±3,544","230,705","±7,591","164,022","±7,861","10,927","±1,442","183,049","±5,525","68,455","±3,554","72,912","±3,681","147,796","±5,782","17,633","±2,157","79,739","±5,200","10,472","±1,369","104,063","±4,613","468,712","±12,309","60,638","±3,735","6,997","±1,040","119,501","±5,874","114,528","±5,054","25,683","±2,441","87,994","±4,223","9,942","±1,541","44,197","±3,489"
"            Associate's degree","31,180","±3,007","3,264","±780","43,807","±4,247","17,791","±1,952","221,981","±8,321","32,660","±3,131","18,827","±2,583","3,952","±1,057","1,080","±513","144,708","±8,025","56,238","±5,067","10,631","±1,684","13,151","±1,899","79,273","±4,688","48,001","±4,178","28,202","±2,397","19,638","±2,195","31,366","±3,024","24,723","±2,365","6,528","±1,085","31,027","±2,889","36,774","±3,139","65,722","±3,577","47,756","±3,629","25,225","±2,993","38,595","±2,875","5,487","±1,068","14,756","±1,447","15,694","±2,939","6,063","±1,028","42,896","±3,409","15,368","±2,250","125,716","±6,054","68,297","±5,251","6,320","±1,192","77,568","±4,509","22,967","±2,333","22,395","±2,685","74,475","±4,437","5,782","±1,342","32,115","±2,924","7,569","±1,349","33,566","±3,308","132,225","±6,462","26,500","±2,826","3,354","±893","45,499","±3,702","55,666","±3,797","10,959","±1,530","42,939","±2,973","4,424","±1,273","29,130","±2,636"
"            Bachelor's degree","60,688","±4,000","11,574","±1,526","84,819","±6,087","31,156","±2,935","648,272","±12,098","105,179","±5,389","56,352","±3,295","12,926","±1,531","23,358","±1,923","255,620","±10,639","153,451","±8,083","22,749","±2,134","20,744","±2,180","250,691","±7,889","92,749","±4,397","53,124","±2,938","50,671","±3,231","51,493","±3,544","62,209","±4,334","18,454","±1,806","107,166","±4,834","138,177","±5,554","129,864","±4,340","113,737","±4,459","32,374","±3,161","92,497","±4,782","16,702","±1,697","31,695","±2,338","32,127","±3,737","21,986","±2,029","169,261","±5,587","24,044","±2,541","387,687","±10,044","152,521","±7,848","13,788","±1,507","154,469","±5,225","56,122","±3,413","64,339","±3,433","199,077","±5,857","16,702","±2,035","60,912","±4,451","14,580","±1,749","93,027","±4,655","406,683","±13,220","53,948","±2,910","11,870","±1,211","158,182","±6,330","110,501","±5,221","18,242","±1,698","95,733","±3,682","9,021","±1,446","66,185","±4,244"
"            Graduate or professional degree","27,274","±2,701","3,914","±1,009","31,847","±3,617","16,241","±2,169","264,850","±8,627","42,949","±3,010","37,584","±3,411","6,747","±1,247","27,350","±1,851","96,963","±5,618","67,379","±5,454","9,254","±1,401","6,000","±1,386","123,885","±5,723","30,511","±2,582","19,390","±1,759","18,586","±2,124","28,264","±2,616","23,286","±2,457","7,761","±1,358","64,481","±4,523","88,107","±4,216","56,288","±3,288","38,983","±2,401","13,674","±2,181","43,479","±3,013","3,974","±863","12,034","±1,422","11,641","±2,048","9,223","±1,344","79,612","±3,670","8,953","±1,485","246,442","±8,639","58,950","±4,719","4,005","±1,140","78,667","±4,076","16,398","±2,003","25,661","±2,442","103,286","±4,761","6,808","±1,231","28,630","±3,551","4,580","±1,310","40,070","±3,343","151,225","±7,425","12,018","±1,589","4,582","±940","82,599","±4,781","48,621","±3,615","9,466","±1,421","33,763","±2,603","3,369","±956","22,206","±2,278"
"        35 to 44 years:","315,572","±3,511","46,120","±1,625","405,040","±2,510","182,695","±2,853","2,574,855","±4,514","346,262","±2,685","239,893","±1,078","58,075","±640","41,057","±484","1,216,745","±4,331","717,840","±6,053","86,743","±1,056","97,252","±1,468","860,639","±2,463","416,796","±2,990","179,160","±1,805","173,049","±1,950","283,607","±2,215","286,934","±2,928","85,753","±1,124","406,189","±2,446","444,810","±1,525","627,518","±2,537","332,288","±2,083","198,082","±3,498","371,513","±2,445","54,299","±1,033","108,914","±1,575","186,703","±1,766","88,095","±1,179","617,328","±1,591","121,761","±2,052","1,306,209","±2,294","673,056","±5,467","36,733","±763","731,020","±2,906","230,394","±2,027","245,757","±2,207","795,788","±2,784","68,355","±911","305,152","±3,645","47,099","±1,194","425,227","±3,780","1,760,976","±5,944","169,498","±2,170","38,590","±545","560,939","±4,253","452,923","±3,276","116,372","±1,438","351,233","±2,120","32,567","±1,179","249,869","±1,992"
"            Less than 9th grade","8,856","±1,551","312","±233","24,525","±3,280","6,596","±1,493","241,220","±8,549","12,778","±1,953","5,589","±1,113","1,805","±689","1,971","±644","41,337","±3,568","28,291","±3,408","1,213","±502","4,194","±1,134","38,910","±3,355","12,124","±1,854","5,342","±1,015","6,385","±1,124","6,778","±1,428","7,298","±1,647","940","±433","11,161","±1,743","12,985","±1,857","13,001","±1,633","9,071","±1,414","5,729","±1,306","10,657","±1,770","563","±300","4,271","±1,033","11,855","±2,221","772","±526","23,660","±2,503","6,342","±1,466","60,341","±3,820","23,204","±2,936","311","±211","12,883","±1,754","8,013","±1,118","13,086","±2,094","16,714","±2,008","2,589","±1,074","8,699","±1,860","1,136","±447","11,405","±1,766","137,234","±7,010","6,566","±1,598","378","±300","15,474","±2,643","17,650","±2,462","2,297","±683","8,201","±1,329","574","±381","14,140","±2,002"
"            9th to 12th grade, no diploma","24,274","±2,988","2,218","±723","35,410","±3,563","12,895","±1,769","244,092","±7,980","17,830","±2,474","11,355","±1,511","2,044","±690","1,485","±562","71,786","±5,127","53,995","±5,731","3,107","±895","5,570","±1,178","45,399","±3,506","26,603","±2,734","6,508","±1,305","9,262","±1,189","21,795","±2,482","24,801","±2,497","2,981","±788","20,036","±2,670","19,915","±2,456","31,246","±2,879","10,434","±1,594","19,863","±2,560","25,083","±2,700","1,620","±596","3,716","±916","17,441","±2,699","2,765","±827","28,514","±3,228","12,246","±1,808","90,047","±5,419","43,668","±4,518","1,166","±475","39,906","±3,595","13,571","±1,727","14,154","±2,400","38,181","±3,220","4,525","±1,118","22,003","±2,603","1,746","±627","27,497","±2,928","164,519","±7,195","9,263","±1,686","1,239","±454","27,330","±3,318","25,485","±2,830","8,485","±1,498","17,795","±2,046","1,533","±646","17,842","±2,327"
"            High school graduate, GED, or alternative","82,644","±5,234","9,840","±1,534","88,814","±5,991","56,426","±4,118","470,695","±11,716","61,015","±4,258","50,309","±3,661","15,384","±1,865","7,941","±1,127","322,016","±11,000","170,316","±7,940","21,245","±1,865","23,439","±2,713","190,723","±6,155","113,788","±4,656","38,443","±2,318","34,748","±2,612","76,728","±4,147","84,669","±4,359","22,959","±2,258","82,089","±3,905","88,656","±3,807","145,936","±5,188","54,262","±2,810","46,795","±3,824","87,638","±4,672","12,508","±1,481","21,504","±1,973","50,511","±4,388","18,868","±1,840","145,667","±5,223","29,587","±2,581","287,170","±8,365","135,520","±5,252","6,628","±975","194,280","±6,405","63,140","±3,075","50,204","±3,146","223,423","±6,534","16,641","±1,958","78,640","±4,818","9,687","±1,134","122,837","±6,779","396,395","±12,081","35,891","±2,636","8,174","±1,132","115,839","±5,553","87,962","±5,286","40,257","±2,842","81,477","±3,852","8,350","±1,327","55,940","±3,386"
"            Some college, no degree","79,009","±4,363","13,575","±1,638","100,205","±5,960","43,227","±3,369","543,240","±12,250","74,912","±4,342","43,213","±2,845","11,034","±1,246","5,766","±1,057","265,532","±9,183","157,220","±7,799","21,833","±2,198","25,786","±2,737","179,221","±6,457","92,825","±4,868","41,101","±3,006","40,264","±2,952","68,389","±4,111","69,420","±3,802","18,221","±1,965","80,290","±4,426","77,420","±4,352","158,015","±6,494","76,874","±3,482","51,418","±3,976","92,398","±4,129","12,984","±1,453","25,150","±1,938","47,255","±3,463","16,897","±1,456","104,826","±5,127","28,409","±2,420","213,632","±6,906","159,894","±6,920","8,912","±1,223","172,947","±6,484","56,790","±2,708","63,618","±3,998","152,401","±5,248","13,675","±1,827","71,771","±4,055","13,420","±1,702","94,202","±4,672","409,437","±12,716","46,450","±3,633","7,535","±1,153","113,262","±5,412","108,916","±5,173","22,020","±2,338","80,868","±3,474","7,732","±1,355","38,474","±3,218"
"            Associate's degree","34,167","±3,352","3,927","±859","36,895","±3,940","16,412","±2,226","199,671","±6,653","36,242","±3,488","24,499","±2,428","6,871","±1,449","1,018","±513","144,391","±7,637","63,025","±4,679","10,649","±1,587","9,559","±1,503","80,959","±5,150","50,545","±3,616","27,286","±2,051","18,201","±2,076","32,210","±3,265","23,587","±2,419","11,223","±1,667","30,046","±2,813","43,784","±3,491","72,919","±4,150","45,659","±2,884","25,524","±3,433","36,455","±3,694","6,476","±1,094","13,814","±1,670","14,031","±2,662","14,034","±1,507","50,864","±3,923","11,097","±1,919","138,672","±5,440","84,202","±5,552","6,136","±1,047","84,016","±4,136","21,794","±1,845","22,116","±2,398","89,749","±4,286","6,279","±1,203","33,977","±3,613","5,911","±1,003","42,107","±3,810","138,046","±7,468","20,203","±2,611","4,391","±860","52,964","±3,677","53,611","±3,824","14,675","±1,795","46,219","±3,083","4,959","±1,101","36,032","±2,931"
"            Bachelor's degree","54,489","±3,587","10,513","±1,382","77,234","±5,130","33,851","±3,079","556,044","±11,779","90,036","±3,720","60,968","±3,675","12,753","±1,449","8,335","±1,189","241,957","±9,575","158,274","±8,921","19,485","±1,678","21,535","±2,918","201,155","±6,324","81,765","±4,476","41,459","±2,872","44,328","±2,458","45,594","±3,493","50,102","±3,519","20,089","±1,861","97,460","±4,333","116,197","±4,599","131,569","±4,367","88,556","±3,564","31,259","±2,626","71,777","±3,868","13,845","±1,668","28,451","±1,911","31,953","±3,550","20,186","±1,559","168,366","±4,932","20,237","±2,118","283,671","±8,103","152,956","±7,360","10,152","±1,141","141,148","±4,739","45,586","±2,761","51,840","±2,832","172,735","±5,991","14,632","±1,917","59,929","±3,911","9,955","±1,286","82,470","±4,703","350,843","±11,876","37,987","±3,162","10,460","±1,313","138,816","±5,878","99,487","±4,095","18,634","±2,498","77,942","±3,326","6,604","±1,276","64,361","±3,482"
"            Graduate or professional degree","32,133","±3,423","5,735","±1,313","41,957","±3,236","13,288","±1,709","319,893","±8,189","53,449","±3,486","43,960","±2,713","8,184","±1,337","14,541","±1,204","129,726","±7,980","86,719","±6,189","9,211","±1,343","7,169","±1,264","124,272","±5,944","39,146","±2,855","19,021","±1,809","19,861","±1,696","32,113","±2,967","27,057","±3,039","9,340","±1,258","85,107","±4,114","85,853","±3,767","74,832","±3,436","47,432","±2,885","17,494","±2,507","47,505","±3,405","6,303","±1,107","12,008","±1,518","13,657","±2,664","14,573","±1,627","95,431","±4,106","13,843","±1,819","232,676","±6,286","73,612","±4,532","3,428","±791","85,840","±4,546","21,500","±1,948","30,739","±2,810","102,585","±4,208","10,014","±1,563","30,133","±3,251","5,244","±1,395","44,709","±3,447","164,502","±7,399","13,138","±1,821","6,413","±938","97,254","±4,807","59,812","±3,815","10,004","±1,449","38,731","±2,624","2,815","±741","23,080","±2,741"
"        45 to 64 years:","668,840","±3,131","95,923","±1,561","822,900","±2,420","392,072","±2,352","4,818,425","±4,185","684,790","±2,682","531,970","±1,346","130,138","±776","73,815","±474","2,679,737","±5,359","1,295,882","±5,897","184,321","±1,374","197,542","±2,026","1,734,778","±3,122","884,999","±2,881","409,597","±1,749","377,989","±1,983","611,778","±2,597","616,726","±2,490","211,433","±980","849,016","±2,520","953,153","±1,551","1,423,212","±2,784","734,608","±2,560","395,894","±2,717","835,730","±2,997","146,673","±1,458","241,836","±1,767","349,881","±1,761","207,012","±1,128","1,271,700","±1,673","284,900","±1,923","2,729,192","±2,785","1,327,157","±4,335","89,657","±867","1,652,889","±2,900","498,431","±2,035","543,883","±2,608","1,847,219","±2,769","153,270","±836","660,103","±2,543","106,727","±1,171","899,367","±3,318","3,154,796","±6,463","282,035","±2,057","98,591","±751","1,132,906","±4,511","934,864","±3,356","274,514","±1,530","801,753","±2,435","77,599","±1,151","499,674","±849"
"            Less than 9th grade","23,416","±2,004","2,155","±663","48,799","±4,401","17,885","±2,096","522,024","±11,598","18,947","±2,375","17,452","±2,131","3,584","±1,009","2,707","±806","116,072","±7,091","54,516","±4,913","6,723","±1,102","6,568","±1,193","79,516","±3,895","26,404","±2,857","8,639","±1,409","9,976","±1,513","26,487","±2,696","25,192","±2,495","3,648","±764","20,349","±2,604","43,117","±3,273","31,883","±2,709","16,038","±2,006","17,784","±2,353","20,543","±2,272","1,922","±723","6,038","±1,129","23,520","±2,961","3,607","±978","55,415","±3,549","17,593","±2,103","164,145","±6,488","42,320","±3,865","941","±386","33,715","±2,824","14,684","±1,576","14,833","±1,947","41,970","±2,994","8,124","±1,429","22,376","±2,322","2,187","±615","35,257","±2,971","287,178","±7,293","8,576","±1,562","862","±322","36,870","±3,369","33,201","±2,514","8,755","±1,486","14,914","±1,588","689","±385","70,513","±3,508"
"            9th to 12th grade, no diploma","60,924","±4,410","4,313","±904","49,088","±4,297","33,992","±2,959","342,662","±10,025","29,858","±3,156","24,946","±3,146","7,829","±1,448","8,268","±1,317","182,912","±8,267","113,245","±7,102","7,775","±1,347","9,337","±1,470","98,980","±4,933","57,717","±4,142","16,373","±1,727","16,790","±1,688","51,036","±3,146","61,412","±3,383","7,785","±1,141","46,493","±3,212","42,489","±3,580","82,576","±3,783","21,484","±1,788","38,923","±3,176","61,444","±3,469","6,645","±1,112","9,457","±1,286","25,063","±3,234","7,852","±1,303","62,731","±3,527","18,993","±2,075","185,188","±7,374","95,294","±5,130","3,029","±833","116,058","±5,212","36,965","±2,904","27,554","±2,655","111,727","±4,770","8,109","±1,312","57,661","±3,747","3,349","±739","73,593","±4,606","248,309","±10,009","12,513","±1,691","3,472","±671","69,423","±3,664","35,180","±2,887","23,622","±2,393","34,530","±2,763","3,704","±1,034","46,955","±3,304"
"            High school graduate, GED, or alternative","214,381","±6,025","26,418","±2,144","189,800","±7,318","140,476","±5,131","955,290","±14,370","149,849","±5,052","137,430","±5,148","43,986","±2,803","16,032","±1,588","809,285","±15,871","394,772","±11,424","47,522","±3,063","55,513","±3,490","469,879","±8,894","333,558","±6,635","129,847","±3,499","102,085","±3,971","218,848","±6,647","226,405","±6,083","64,710","±2,813","225,666","±7,344","229,986","±7,343","445,261","±8,325","194,955","±4,643","117,672","±4,810","268,668","±6,117","41,746","±2,801","68,967","±2,830","97,701","±5,805","58,063","±2,629","381,785","±7,789","77,163","±3,949","767,141","±12,880","373,383","±10,285","22,545","±1,568","600,356","±9,680","157,926","±4,248","131,659","±4,839","719,318","±8,554","39,341","±2,866","213,397","±6,555","33,511","±2,365","314,387","±6,641","831,044","±14,581","67,100","±3,346","26,688","±1,774","298,303","±7,870","215,303","±5,984","121,019","±3,533","260,644","±5,824","22,720","±1,983","137,925","±4,161"
"            Some college, no degree","159,663","±5,890","27,749","±2,616","239,562","±7,790","92,343","±4,779","1,104,386","±16,670","164,630","±5,432","102,541","±4,492","25,686","±2,181","12,944","±1,534","603,655","±13,909","280,356","±7,953","42,301","±3,104","56,582","±2,815","406,847","±8,738","192,429","±5,882","94,437","±3,679","97,191","±3,924","132,616","±5,254","138,725","±5,944","46,797","±2,362","177,616","±5,997","164,256","±6,920","351,545","±7,316","182,565","±4,674","95,346","±4,913","201,091","±5,600","41,322","±2,746","63,997","±2,484","90,855","±5,062","40,960","±2,941","230,901","±6,000","68,833","±3,432","459,079","±9,195","308,261","±9,700","24,293","±1,706","353,848","±7,334","125,454","±4,799","157,310","±5,101","317,441","±8,069","29,073","±2,300","142,200","±6,266","26,973","±2,000","201,771","±6,476","726,191","±12,156","89,386","±3,928","18,001","±1,684","246,134","±7,235","254,058","±7,245","48,124","±3,056","183,338","±5,708","22,495","±1,937","56,711","±3,521"
"            Associate's degree","59,798","±3,700","9,293","±1,368","82,459","±5,893","28,445","±2,473","465,944","±9,503","71,211","±4,639","54,423","±3,030","12,947","±1,768","3,468","±921","279,493","±8,390","103,838","±5,488","21,189","±2,082","20,781","±2,582","158,366","±5,502","78,989","±3,876","52,942","±3,209","34,914","±2,461","55,334","±3,450","34,966","±3,060","23,610","±1,772","69,077","±4,065","102,431","±4,635","154,303","±5,648","86,554","±3,430","39,880","±3,212","67,540","±3,863","14,982","±1,735","24,976","±1,902","27,282","±2,741","25,343","±2,360","100,327","±5,070","23,520","±2,007","293,295","±8,065","151,383","±7,158","14,143","±1,555","160,848","±6,503","40,957","±2,907","55,513","±4,033","171,969","±5,698","18,064","±2,107","71,524","±5,130","11,738","±1,434","66,053","±4,016","237,968","±8,375","28,312","±2,041","10,816","±1,165","100,964","±5,959","105,534","±5,050","21,741","±1,803","93,268","±3,402","8,675","±1,340","52,885","±3,366"
"            Bachelor's degree","91,312","±4,474","16,008","±1,657","132,571","±6,153","49,234","±3,234","897,584","±14,360","156,603","±6,687","108,071","±4,367","21,792","±2,136","13,742","±1,606","445,771","±10,652","217,186","±7,670","38,688","±2,542","35,067","±3,044","317,948","±8,595","117,094","±5,115","72,658","±3,467","74,661","±3,450","68,017","±3,551","85,057","±4,332","38,177","±2,787","167,799","±5,525","204,812","±5,586","212,465","±5,496","153,236","±4,373","53,361","±3,584","132,627","±5,649","28,972","±2,262","45,373","±2,252","54,925","±4,332","44,373","±3,069","274,580","±7,224","42,485","±2,927","460,718","±9,153","230,092","±6,677","17,768","±1,550","235,960","±8,212","80,900","±3,817","95,232","±4,506","292,241","±6,255","29,608","±2,357","98,009","±4,836","20,806","±1,589","132,151","±5,705","553,932","±13,166","51,423","±2,760","21,924","±1,678","226,559","±6,930","180,995","±6,291","31,014","±2,444","139,102","±4,802","11,639","±1,275","99,493","±4,100"
"            Graduate or professional degree","59,346","±3,553","9,987","±1,354","80,621","±5,495","29,697","±3,065","530,535","±11,734","93,692","±4,280","87,107","±4,085","14,314","±1,662","16,654","±1,581","242,549","±8,875","131,969","±6,335","20,123","±1,920","13,694","±1,832","203,242","±6,251","78,808","±4,422","34,701","±2,762","42,372","±2,569","59,440","±3,367","44,969","±2,651","26,706","±2,159","142,016","±6,501","166,062","±4,856","145,179","±4,975","79,776","±3,467","32,928","±2,794","83,817","±4,995","11,084","±1,466","23,028","±1,994","30,535","±3,483","26,814","±1,836","165,961","±6,234","36,313","±2,484","399,626","±7,840","126,424","±6,869","6,938","±1,258","152,104","±5,931","41,545","±2,689","61,782","±3,288","192,553","±5,810","20,951","±1,952","54,936","±3,926","8,163","±1,495","76,155","±4,127","270,174","±9,288","24,725","±2,210","16,828","±1,549","154,653","±5,288","110,593","±4,976","20,239","±2,056","75,957","±4,123","7,677","±1,145","35,192","±2,956"
"        65 years and over:","388,480","±1,698","29,952","±946","501,106","±1,203","241,563","±1,371","2,476,330","±2,403","318,818","±1,390","297,675","±758","75,227","±539","41,924","±54","1,864,990","±3,657","617,270","±2,991","113,337","±560","110,001","±1,253","947,518","±1,632","491,176","±1,481","262,510","±958","217,003","±1,266","338,869","±1,775","328,351","±1,453","121,294","±762","421,101","±1,305","535,204","±1,137","787,148","±1,261","393,543","±1,019","223,604","±1,142","484,384","±1,846","80,202","±617","141,625","±836","179,023","±922","102,212","±748","701,444","±925","155,370","±1,037","1,557,611","±1,976","732,440","±2,311","55,454","±361","947,148","±1,551","290,695","±1,313","305,651","±1,427","1,146,314","±1,704","90,028","±513","370,722","±1,515","67,441","±811","500,896","±2,033","1,520,982","±3,618","140,346","±823","51,789","±217","572,613","±2,401","475,430","±2,047","169,402","±1,113","446,858","±1,353","38,706","±662","319,088","*****"
"            Less than 9th grade","42,436","±2,524","4,015","±845","42,419","±2,931","26,277","±2,282","396,979","±8,649","21,647","±1,938","27,413","±2,140","5,621","±1,077","3,604","±836","184,523","±7,149","70,566","±3,838","15,424","±1,469","6,320","±1,259","100,292","±4,369","35,201","±2,745","18,880","±1,737","14,658","±1,692","57,206","±3,035","42,976","±2,339","8,128","±1,139","37,550","±3,054","54,251","±3,234","56,935","±2,838","27,502","±1,842","28,562","±2,398","42,325","±2,806","3,251","±688","8,064","±1,098","15,181","±2,531","6,821","±1,029","80,083","±3,619","20,771","±1,686","211,268","±5,743","75,645","±4,337","8,471","±1,009","66,854","±3,303","21,615","±1,665","16,070","±1,938","91,108","±4,049","10,657","±1,145","43,156","±3,169","5,799","±792","73,023","±3,498","255,006","±6,303","3,665","±873","3,764","±571","60,382","±3,697","31,341","±2,764","19,536","±1,700","32,321","±2,221","1,446","±439","139,201","±3,640"
